,source,target
8803,"Magaca hadda wuxuu ka yimid Coreca Anglicization.
","The current name comes from the Coreca Anglicization.
"
8804,"La'aanta daruuriga xarumaha iyo adeegyada kala duwan , door bidida Campora San Giovanni ee u dhaw iyo caasimada degmada.
","The lack of relevance of various facilities and services , favoring the nearby Campora San Giovanni and the municipal capital.
"
8805,"Sannadkii 2008 , qaybtani waxay laashay wareegtadii dawlada hoose ee dhulka Marinella , Oliva iyo Stritture , waxayna ku fidday baaxad ahaan illaa.
","In 2008 , the frazione annexed by municipal decree the territory of Marinella , Oliva and Stritture , and expanded in size from to.
"
8806,"Idaacad gaar loo leeyahay ( Radio Coreca ) , oo ka mid ah hormuudyadii ugu horreeyay ee baahinta war baahinta , waxay qaadatay muddo gaaban oo xirneyd sanadkii 1996.
","A private broadcaster ( Radio Coreca ) , one of the first pioneers of private broadcasting , lasted a short time and closed in 1996.
"
8807,"Laga bilaabo 2013 , soo nooleyn tartiib tartiib ah laakiin heer sare ah iyo wacyi gelin ayaa bilaabay dib u soo nooleynta Coreca , waxaan sidoo kale u mahadcelinayaa dhalinyarada deegaanka iyo ururada kale ee dhaqamada ee taageera Coreca.
","Beginning in 2013 , a slow but excellent revival and awareness began to resuscitate Coreca , thanks also to local youth and other cultural associations in support of Coreca.
"
8808,"Kaniisadda ayaa ah mid casri ah laakiin qaab miyir qabta , oo awood u leh inay qabato 65 qof.
","The church is of modern but sober style , able to hold 65 people.
"
8809,"Sanad walba inta lagu gudajiro xafladda aaska ( 22ka Agoosto ) waxaa socodsiiya wadooyinka bartamaha.
","Every year during the patronal feast ( August 22 ) there is a procession through the central streets.
"
8810,"Ilaa iyo 2015 waxaa loogu magacdaray Madonna degli Angeli oo u dhow kaniisadda yar iyo weliba jiritaanka nin yar oo hodan ah oo leh taalada Marwadayada.
","Since 2015 it is named after of Madonna degli Angeli for the proximity to the little church and also for the presence of a small niche with a statue of Our Lady.
"
8811,"Intii lagu jiray Dagaalkii Labaad II waxay u magan galeen dadka deegaanka iyo askarta Angola-Ameerika oo u adeegsaday bakhaarro.
","During World War II they were used as a refuge for local residents and for Anglo-American soldiers who used them as warehouses.
"
8812,"Xilliyadii dambe godadka waxaa loo isticmaali jiray munaasabadaha Ciidda Masiixiga iyo Ciidda Masiixiga ilaa horraantii 2000-meeyadii.
","Later the caves were used for Christmas and Easter events until the early 2000s.
"
8813,"Tower of Coreca waxay ku taalaa waqooyiga tuulada Coreca , oo ku taal dhaadheer buuraha Tuvulo.
","Tower of Coreca is located north of the village of Coreca , on the slopes of the Tuvulo hill.
"
8814,"Waxaa loo arkaa inay tahay nooc ka mid ah qaababkii la raaci jiray qarniyo badana loo adeegsan jiray aragtida Carabtu , ka dibna Normans iyo sayidyadihii kala duwanaa ee dhulka ayaa raacay imaatinka ciidamadii Nazi ka dibna ciidammada Anglo-Ameerika ee labaad.
","It is perceived as a crucible of styles that have been followed over the centuries and used mainly as a view of the Arabs , then Normans and various lords of the territory followed up to the arrival of Nazi troops and then Anglo-American troops in the Second World War.
"
8815,"Turriella waxaa lagu gaari karaa wadada Tonnara ee waqooyiga iyo wadada ka timaadda Marinella ilaa koonfurta.
","Turriella can be reached by the Tonnara road to the north and the road from Marinella to the south.
"
8816,""" Corinthian order Amarkii Korintos waa kii ugu dambeeyay ee lagu sameeyay saddexdaas amar ee asaasiga ah ee qowmiyadii hore ee Giriigga iyo Roomaanka.
","The Corinthian order is the last developed of the three principal classical orders of ancient Greek and Roman architecture.
"
8817,"Labada kale waa Amarka Doriska oo ahaa kii ugu horreeyay , waxaana ku xiga amarka Ion.
","When classical architecture was revived during the Renaissance , two more orders were added to the canon : the Tuscan order and the Composite order.
"
8818,"Marka qaab dhismeedka qowmiyadeed dib loo soo nooleeyey intii lagu jiray Renaissance , laba amarro dheeraad ah ayaa lagu daray sharciga , amarka Tuscan iyo amarka Composite.
","When classical architecture was revived during the Renaissance , two more orders were added to the canon : the Tuscan order and the Composite order.
"
8819,"Korintaan , oo leh dabeecad u dhigma Composite , waa midka ugu sarreeya amarrada.
","The Corinthian , with its offshoot the Composite , is the most ornate of the orders.
"
8820,"Waxaa jira kala duwanaansho badan.
","There are many variations.
"
8821,"Waxaa lagu shaqaaleeyey koonfurta Gaul ee Maison Carrée , Nimi ( sawir , hoose ) iyo macbudka isbarbar dhiga ee Vienne.
","It was employed in southern Gaul at the Maison Carrée , Nîmes and at the comparable at Vienne.
"
8822,"Tusaalooyinka kale ee muhiimka ah ee lagu xusay Mark Wilson Jones waa amarka hoose ee Basilica Ulpia iyo kareemka Ancona ( labadaba xukunka Trajan , 98-117 AD ) "" column of Phocas "" ( dib loo qaabeeyey taariikhda Casriga ah ee qarnigii 2aad asal ahaan ) , iyo "" Macbadka Bacchus "" ee Baalbax ( 150 AD ).
","Other prime examples noted by Mark Wilson Jones are the lower order of the Basilica Ulpia and the Arch of Trajan at Ancona ( both of the reign of Trajan , 98-117 AD ) , the Column of Phocas ( re-erected in Late Antiquity but 2nd century in origin ) , and the Temple of Bacchus at Baalbek ( c . 150 AD ).
"
8823,"[ 2 ] Ionic order Doric order
","The other two are the Doric order which was the earliest , followed by the Ionic order.
"
8824,"Musuqmaasuq waa nidaamka oo maamul xun iyo been leh kooxda dowladda ama xukumaad ama rasmiga awood leh.
","The US is distinct with grey areas and institutional corruption in the higher education sector.
"
8825,"Guud ahaan , musuqmaasaqu waa cadaalad daro iyo daacadnimo la'aan uu qof maamul haya ku doorsado lacag , kharash ama balanqaad iyo dane kale oo shakhsi ahaan ah.
","Neither the law nor the administration is authorized to determine which expenses are not operationally justified and therefore not deductible.
"
8826,"Waxay ku taallaa koonfurta xeebta Faransiiska iyo galbeedka xeebta Talyaaniga , iyada oo dhulka ugu dhow uu yahay jasiiradda Talyaaniga ee Sardinia oo koonfurta ku dhow.
","It lies southeast of the French mainland , west of the Italian Peninsula , and immediately north of the Italian island of Sardinia , the land mass nearest to it.
"
8827,"Bastia , magaalada hareeraha ee Haute-Corse , waa heshiiska labaad ee ugu weyn ee Corsica.
","Corsica's second-largest town is Bastia , the prefecture city of Haute-Corse.
"
8828,"Cory Anthony Booker waa Dadka Madoow , oo ah senator-ka New Jersey.
","Senator from New Jersey.
"
8829,"Wuxuu xubin ka yahay Xisbiga Dimuqraadiga ( Maraykanka ).
","A member of the Democratic Party , Booker is the first African-American U.S.
"
8830,"Waxayna ka koobantahay wasiiro uu soo xulay Ra'iisul wasaaradaha somalia Waxaa la magacaabay November 4 , 2012 , Golaha wasiirada ee Dawladda Jamhuuriyadda Federaalka Soomaaliya waana sidaan
","The Council of Ministers of the Federal Government of Somalia consists of Ministers appointed by the Prime Minister.
"
8831,"= Qoraalo La Mid Ah = = Xigasho =
","one vs two ).
"
8832,"Sida caadiga ah , labeentu waxay ka mid tahay caanaha xoolaha waxaa inta ugu badan laga helaa korka sare ee caanaha.
","In many jurisdictions , there are regulations for each type.
"
8833,"Labeentu waa lakab ka mid ah caanaha taasi oo qani ku ah subag iyo dufan badan.
","Sour cream , common in many countries including the U.S. , Canada and Australia , is cream ( 12 to 16 % or more milk fat ) that has been subjected to a bacterial culture that produces lactic acid ( 0.5 % + ) , which sours and thickens it.
"
8834,"Gef , Dembi waa falila iyo ku kicida fal ka soo horjeeda qanuunka ama sharciga u degsan dal ama urur.
","Legislation must conform to a theory of legitimacy , which describes the circumstances under which a particular person or group is entitled to make law , and a theory of legislative justice , which describes the law they are entitled or obliged to make.
"
8835,"Croatia waxay leedahay aag 56,594 kilomitir oo isku wareeg ah ( 21,851 mayl laba jibaaran ) iyo dad gaaraya 4.28 milyan , kuwaas oo intooda badani yihiin Roman Catholics.
","Croatia has an area of and a population of 4.07 million , most of whom are Catholics.
"
8836,"Croats ayaa soo gaadhay aagga qarnigii 6aad , waxaanay dhul-beereedka u abaabuleen laba duchis qarnigii 9aad.
","The Croats arrived in the area in the 6th century and organised the territory into two duchies by the 9th century.
"
8837,"Tomislav wuxuu noqday Boqorka ugu horeeyay 925 , oo kor u qaaday Croatia si ay u aqoonsato boqortooyadii , taasoo haysatay awooddeeda ku dhowaad laba qarniyadood , iyagoo gaadhay heerkii ugu sarreeyay ee boqorradii Petar Krešimir IV iyo Dmitar Zvonimir.
","Tomislav became the first king by 925 , elevating Croatia to the status of a kingdom , which retained its sovereignty for nearly two centuries.
"
8838,"Croatia waxay ku biirtay urur shaqsi ah Hungary sanadkii 1102.
","On 1 April 2009 , Croatia joined NATO.
"
8839,"1527-kii , ayaa la kulantay qabsashadii Ottoman , Baarlamaanka Croatia ayaa u doortay Ferdinand I Habsburg inay carshigii Croatia.
","In 1527 , faced with Ottoman conquest , the Croatian Parliament elected Ferdinand I of Austria to the Croatian throne.
"
8840,"Ka dib dagaalkii Axis ah ee Yugoslavia bishii Abriil 1941 , badi dhulka Croatia waxaa lagu daray macaamiisha taageera Nazi oo taageera dhaqdhaqaaqa is-caabinta iyo abuurista Dawladda Federaalka ee Croatia , ka dib markii dagaalku noqdo aasaas xubin ka ahaanshaha federaalka ee Jamhuuriyadda Federaalka ee Yugoslavia.
","This led to the creation of the Federal State of Croatia , which after the war became a founding member and constituent of the Socialist Federal Republic of Yugoslavia.
"
8841,"Dagaalkii Croatia ee madaxbannaanida ayaa si guul ah ugu dagaalamay afar sano kadib markii lagu dhawaaqay.
","The Croatian War of Independence was fought successfully for four years following the declaration.
"
8842,"Croatia waa Jamhuuriyad lagu maamulo nidaamka baarlamaanka iyo waddan la horumariyey oo leh heer aad u sarreeya oo nool.
","The Republic of Croatia is a unitary state using a parliamentary system of governance.
"
8843,"Waa xubin ka mid ah Midowga Yurub ( EU ) , Qaramada Midoobay ( UN ) , Golaha Yurub , NATO , Ururka Ganacsiga Adduunka ( WTO ) , iyo xubin ka mid ah Ururka Midawga Yurub.
","It is a member of the European Union ( EU ) , the United Nations ( UN ) , the Council of Europe , NATO , the World Trade Organization ( WTO ) , and a founding member of the Union for the Mediterranean.
"
8844,"Ka qaybgalayaasha firfircoon ee ciidamada nabad-ilaalinta ee Qaramada Midoobay , ayaa Croatia ka qaybqaatay howlgalkii NATO ee hoggaamiyihii NATO ee ka socday Afgaanistaan oo uu kursi aan joogto ah ku lahayn Golaha Amaanka ee Qaramada Midoobay muddadii u dhaxaysay 2008-2009.
","As an active participant in the UN peacekeeping forces , Croatia has contributed troops to the NATO-led mission in Afghanistan and took a non-permanent seat on the UN Security Council for the 2008-2009 term.
"
8845,"Csepel waxay si rasmi ah u noqotay qayb ka mid ah Budapest bishii 1aad ee 1950.
","Csepel officially became part of Budapest on 1 January 1950.
"
8846,"Csepel wuxuu ku yaala dhamaadka waqooyiga Csepel Island ee Danube , wuxuuna ka kooban yahay tobankii meel ee jasiiradda.
","Csepel is located at the northern end of Csepel Island in the Danube , and covers one-tenth of the island's area.
"
8847,"Jasiiradda oo ah , waa degmada kaliya ee buuxa ee Budapest oo aan ku jirin Pest iyo Buda.
","The twenty-first district is bordered by the settlements of Szigetszentmiklós and Lakihegy to the south.
"
8848,"Waxay leedahay qiyaastii 85,000 oo qof.
","It has approximately 85,000 inhabitants.
"
8849,"Wareegyadu waxay isku xiraan Csepel qaybaha koonfurta ee Pest , Ferencváros iyo Pesterzsébet , iyo faleen isku xira Csepel si Soroksár
","Bridges connect Csepel to southern parts of Pest , Ferencváros and Pesterzsébet , and a ferry links Csepel to Soroksár.
"
8850,"Kuuba waa waddan ku yaala.
","According to the Heritage Foundation , Cuba is dependent on credit accounts that rotate from country to country.
"
8851,"ameerika gaar ahaana mandaqada kareebiyanka caasimada Kuuba waa hafana.
","Its area is including coastal and territorial waters.
"
8852,"Kuuba ama ENGKISH Cuba waa wadan ku yaala wuqooyiga Ameerika.
","No political party is permitted to nominate candidates or campaign on the island , including the Communist Party.
"
8853,"Wuqooyiga waxaa ka xigo wadamada Mareykanka iyo Bahamas koonfurta waxaa ka xigto Maksiko.
","The University of Havana was founded in 1728 and there are a number of other well-established colleges and universities.
"
8854,"Dhibaatada Maskaxda ee Cuba Qalalaasaha Cuba , oo sidoo kale loo yaqaano Dhibaatada Bishii Oktoobar 1962 ( Isbanishka : Crisis de Octubre ) , Dhibaatada Caribbean ( Ruushka : Karibsky Krizis , Karibski Krizis , IPA : [ Kɐrʲipskʲɪj krʲizʲɪs ] ) , ama Scare Terrile , wuxuu ahaa 13-ta maalmood ( Oktoobar 16-28 , 1962 ) iskudhacyadii u dhexeeyay Maraykanka iyo Midowga Soofiyeetka ee ku saabsan gantaalaha ballaarinta ee Maraykanka ee Talyaaniga iyo Turkiga iyada oo ay ka soo baxday gantaalaha ballaadhan ee ballaadhan ee Cuba.
","The Cuban Missile Crisis , also known as the October Crisis of 1962 , the Caribbean Crisis , or the Missile Scare , was a 13-day ( October 16-28 , 1962 ) confrontation between the United States and the Soviet Union initiated by Soviet ballistic missile deployment in Cuba.
"
8855,"[ 2 ] Markuu ka jawaabayay baqdintii Baashii Dambiyada Dagaalkii 1961 iyo joogitaanka maraakiibta ballaaran ee Maraykanku ku leeyahay Talyaaniga iyo Turkiga , hogaamiyaha Soofiyeetka Nikita Khrushchev ayaa ku heshiiyay codsiga Cuba ee ah in lagu rakibo gantaal nukliyeer ah oo jasiiradda ah si looga hortago duullaankii mustaqbalka.
","In response to the failed Bay of Pigs Invasion of 1961 and the presence of American Jupiter ballistic missiles in Italy and Turkey , Soviet leader Nikita Khrushchev agreed to Cuba's request to place nuclear missiles on the island to deter a future invasion.
"
8856,"Diyaar garowga gantaalada ayaa la xaqiijiyay markii diyaarad duulimaad ah oo Air Force U-2 ay soo saartay caddayn muuqaal ah oo dhexdhexaad ah oo dhexdhexaad ah ( SS-4 ) iyo xarumaha gantaalaha dhexe ee R-14.
","The missile preparations were confirmed when an Air Force U-2 spy plane produced clear photographic evidence of medium-range ( SS-4 ) and intermediate-range ( R-14 ) ballistic missile facilities.
"
8857,"Dhaqan waa nolosha , hadalka , luuqada , aqoonta , fanka , suugaanta , ciyaaraha , hido iyo dhaqanka iyo guud ahaan hab nololeedka bulsho leedahay kaasi oo noqon kara wax sawir guud oo dadka kale ka heeystaan bulshadaasi.
","The "" Cambridge English Dictionary "" states that culture is "" the way of life , especially the general customs and beliefs , of a particular group of people at a particular time . ""
"
8858,"Sidoo kale dhaqanku waa shay leh macne badan oo kala duwan oo isla xidhiidha.
","Cultural studies is concerned with the meaning and practices of everyday life.
"
8859,"qarnigii sagaal iyo tobnaad , waxa lagu tilmaamay xubnaha ama ama sinaanshaha ee qof walba , gaaar ahaan dhinaca waxbarasho , ka dibna buuxinta qaranimodoonka.badhtamihii qarnigii saagaal iyo tobnaad , saynisyahanada qaar baa isticmaala kalmada "" dhaqan "" tsi ay u tibaaxaan awooda baniaadamka ee caalamigaa.ee jarmalka nonpositivist sociologist Georg Simmel , culture referred to "" the cultivation of individuals through the agency of external forms which have been objectified in the course of history "".
","For sociologist Georg Simmel ( 1858-1918 ) , culture referred to "" the cultivation of individuals through the agency of external forms which have been objectified in the course of history . ""
"
8860,"Dhaqanka Soomaalida waa hab nololeedka iyo nidaamka dhaqan ee dadka Soomaalida ah ; taasi ooy ka mid tahay luuqada , cuntada , suugaanta , fanka , farshaxanta , habaynta iyo soo bandhiga heesaha Soomaalida , ruwaayadaha , majaajilooyinka u dhaqanka ah dadka Soomaalida ah meelkasta ooy joogaan , gaar ahaan inta ku dhaqan Bariga Afrika.
","Somali nationalism is centered on the notion that Somalis in Greater Somalia share a common language , religion , culture and ethnicity , and as such constitute a nation unto themselves.
"
8861,"Sidoo kale , dadka ku hadla Af Soomaaliga waxay leeyihiin fan iyo suugaan aad u heersareeya , qani ku ah aqoon iyo xirfad qoto dheer.
","Additionally , Somali women have a long tradition of wearing gold and silver jewelry , particularly bangles.
"
8862,"In kastoo fanka maanta jira yahay mid aad u da ' yar wuxuu leeyahay waaxyo iyo noocyo aad u badan.
","Somali art is the artistic culture of the Somali people , both historic and contemporary.
"
8863,"Dhaqanka Soomaalidu waa mid soo jireen ahaa kaasi oo jiilal badan iska dhaxleen.
","Somali nationalism is centered on the notion that Somalis in Greater Somalia share a common language , religion , culture and ethnicity , and as such constitute a nation unto themselves.
"
8864,"Sidoo kale dhaqanka Soomaalidu wuxuu in badan ku salaysan yahay diinta Islaamka oo dadka Soomaalida intooda u badan aaminsan yihiin.
","The clan groupings of the Somali people are important social units , and clan membership plays a central part in Somali culture and politics.
"
8865,"Walhtiga gumeysiga , waxaa gaashaan u noqday dhaqanka Soomaaliyeed , waa dawladda iyo halganka [ [ Darwiish.
","Somali art is the artistic culture of the Somali people , both historic and contemporary.
"
8866,"Sida caalamka qiray , dhaqanka Soomaalidu wuxuu qani ku yahay fanka iyo suugaanta.
","Somali art is the artistic culture of the Somali people , both historic and contemporary.
"
8867,"Waxaanu fanku inta badan ka turjumaa nolosha iyo Waayaha Bulshada.
","It is worn over a full-length half-slip and a brassiere.
"
8868,"Dhinaca kale heesaha Af Soomaaligu waa kuwo ka duwan caalamka dhan.
","The Somali language is the official language of Somalia.
"
8869,"Taas macnaheedu ma ahan in dadka Soomaalida heesta aqoonin wixii ka horeeyay 1930kii , laakiin Waxaa wakhtigan bilaabmey heesaha leh [ [ muusig ] ] a , [ [ kaban ] ] ka , [ [ durmaan ] ] ka , [ [ turunbo | turunbada ] ] iyo wixii la mid ah.
","The palm is also frequently decorated with a dot of henna , and the fingertips are dipped in the dye.
"
8870,"= Muuqaal = Kuwani waa [ [ sawir ] ] o muujinaya qaabka iyo nidaamka dhaqanka Soomaalida.
","Somali art is the artistic culture of the Somali people , both historic and contemporary.
"
8871,"Curitiba ( kuɾi'tibɐ ) waa magaalo ku taala dalka koonfur Barasiil.
","The city is also regarded as the best in which to invest in Brazil.
"
8872,"Tusaalooyinka dadkan waxaa ka mid ah Afarta , Beja , Oromo , Somali , Amxaarada , Tigreyaasha ( Tigree-Tigrinya ) , Gurages , iyo Sidama oo ay ka mid yihiin dhowr kale.
","The Cushitic-speaking peoples today comprise the Agaw , Oromo , Somali , Afar , and several other tribes , and were considered offspring of Cush in Masudi's "" Meadows of Gold "" from 947 AD.
"
8873,"Xoola-dhaqatadan hore waxay u soo bandhigeen xoola-dhaqatada Bariga Afrika iyo dadka ku nool Koonfurta Afrika , qaab nololeed wali ka sareeya aagaggaas , tusaale ahaan , dadka Maasai iyo Khoikhoi ee Bariga iyo Koonfurta Afrika siday u kala horreeyaan.
","In the Roman period and perhaps earlier , the toponym referred to a portion of the Southeast Africa coast extending from Kenya , to perhaps as far south as Tanzania.
"
8874,"Falanqaynta luqadaha taariikhiga ah iyo archaeogenetics waxay muujinayaan in luqadaha looga hadlo dhaqanka qadiimka ah ee Kerma ee waxa hada Koonfurta Masar iyo Waqooyiga Suudaan ay ahaayeen afafka Cushitic.
","Extinct Cushitic languages Linguistic evidence ( according to Claude Rilly 2008 , 2010 , 2016 and Julien Copper 2017 ) indicates that in antiquity , Cushitic languages were spoken in Lower Nubia , an ancient region which straddles present day Southern Egypt and Northern Sudan , and that Nilo-Saharan languages of the Eastern Sudanic branch were spoken in Upper Nubia to the south ( where the ancient Kerma culture was located ) , before the spread of Eastern Sudanic languages further north into Lower Nubia.
"
8875,"Dadka reer Kuush waa dadka ugu badan ee Geeska Afrika ; aag la rumeysan yahay inuu yahay meesha ay ku kala firidhsan yihiin dadka ku hadla Afka-weynaha ee ku yaal Bariga Afrika oo dhan.
","The Cushitic peoples ( or Cushites ) are a grouping of people who are primarily indigenous to Northeast Africa ( Nile Valley and Horn of Africa ) and speak or have historically spoken Cushitic languages or Ethiosemitic languages of the Afroasiatic language family.
"
8876,"Dadka reer Cushitic waxay asal ahaan u hoggaansan yihiin Sunniyiinta Islaamiga ah iyo diinta kiristaanka ee qowmiyada tirada yar oo wali ku dhaqma caqiidada iyo diinta Yahuudda.
","They speak Saho as a mother tongue , which belongs to the Cushitic branch of the Afroasiatic family and is closely related to Afar.
"
8877,"Eraygii Kuushii ama Kushi ( Hebrew "" kuši "" ) sidoo kale dhowr jeer ayuu soo muuqday Kitaabka Cibraaniga si loo tixraaco qof madow oo maqaarka ka soo jeeda , una dhigma Greek Aethiops.
","The word Cushi or Kushi ( "" kuši "" ) appears several times in the Hebrew Bible to refer to a dark-skinned person of Northeast African descent , equivalent to Greek Aethiops.
"
8878,"Ereygu waa soo bixitaankii "" Cush "" ( כּוּשׁ "" Kūš "" ) , oo tilmaamaya Boqortooyadii hore ee Kush.
","Cushi is a derivation of "" Cush "" ( כּוּשׁ "" Kūš "" ) , referring to the ancient Kingdom of Kush.
"
8879,"The dadyowga Kushitigga ku hadla ayaa maanta ka kooban ee Agaw , Oromo , Soomaali , Canfarta , iyo dhowr qabiilooyinka kale , waana la tixgeliyaa farcankii Kuush ku Masudi ayaa "" Meadows of Gold "" ka 947 AD.
","The Cushitic-speaking peoples today comprise the Agaw , Oromo , Somali , Afar , and several other tribes , and were considered offspring of Cush in Masudi's "" Meadows of Gold "" from 947 AD.
"
8880,"Dadka Beja , oo sidoo kale ku hadla luqadda Cushitic , waxay leeyihiin caadooyin abtirsiinyo gaar ah oo asal ahaan ka soo jeeda Cush.
","Many Beja people speak the Beja language as a mother tongue , which belongs to the Cushitic branch of the Afro-Asiatic family.
"
8881,"Dadka reer Cushite waa sidaa darteed kuwa ku hadla luqadaha ama ku hadla luqadaha taariikhiga ah ee kooxda Cushite ee ku hadasha luuqada Afro-Asiatic.
","The Cushitic peoples ( or Cushites ) are a grouping of people who are primarily indigenous to Northeast Africa ( Nile Valley and Horn of Africa ) and speak or have historically spoken Cushitic languages or Ethiosemitic languages of the Afroasiatic language family.
"
8882,"Kooxahan dhaqameedku waxay noqon karaan noocyo kaladuwan waxayna soo bandhigayaan astaamo kala duwan oo gaar ah laakiin leh dhaqamo badan oo awood leh , qowmiyado iyo astaamo luqadeed , oo ay kujiraan caadooyinka xoolo dhaqatada reer guuraaga ah.
","These cultural groups may be of diverse types and exhibit a variety of unique features but with powerful common cultural , ethnic and linguistic traits , including nomadic cattle pastoralist traditions.
"
8883,"Geeska Afrika Caddaynta archeological iyo caddeynta luqadaha ee laga soo uruuriyay toponyms iyo diiwaannada Masaarida hore waxay muujinayaan in caddeynta ugu horeysa ee hadalka Cushitic aan laga helin halka ay ku hadlaan qoyska luqadaha ugu badan maanta - kan Geeska Afrika , laakiin Suudaan.
","Archeological evidence and linguistic evidence gathered from toponyms and ancient Egyptian records suggest that the earliest evidence of Cushitic speech is not found where the language family is most predominant today - namely the Horn of Africa , but in a region of Sudan.
"
8884,"Dhaqamada Nubian-ka hore sida A-Group Dhaqanka & C-Group Dhaqanka waxay si joogto ah ugu xirnaayeen dadkii hore ee Cushitic laakiin maqnaanshaha qoraalada asalka ah ama diiwaanada aagga ayaa soo bandhigaya dhibaatooyinka lagu hubinayo dhaqamadan inay yihiin gunaanad Cushitic , ama xitaa Proto-Cushitic.
","Some prehistoric northern Nubian cultures such as the A-Group Culture and C-Group Culture have been regularly linked to early Cushitic populations.
"
8885,"Dadka reer Cushitic waxay u badan tahay inay samaysteen oo bilaabeen inay ka guuraan dooxada Niil ee prehistory.
","Many Beja people speak the Beja language as a mother tongue , which belongs to the Cushitic branch of the Afro-Asiatic family.
"
8886,"Laas Geel , sawirada godadka qadiimiga ah ee Waqooyiga Soomaaliya waxay daliil u yihiin calaamadaha ugu horreeya ee dad la rumeysan yahay inay abti u yihiin Afro-Asiatic ku hadla Geeska Afrika.
","They speak Saho as a mother tongue , which belongs to the Cushitic branch of the Afroasiatic family and is closely related to Afar.
"
8887,"Idaha , riyaha , iyo lo'da ee koonfur-galbeed Aasiya asal ahaan waxaa markii ugu horreysay lasiiyay woqooyi bari Afrika ee Suudaan qiyaastii ≈ 8000 sano kahor ( BP ) , waxayna ku faafay bariga Afrika laga bilaabo ≈ 5000 BP , ugu dambeyntiina wuxuu gaadhay koonfurta koonfur Afrika by2000 BP.
","Domestic sheep , goats , and cattle of southwest Asian origin were first introduced to northeastern Africa in Sudan around ≈ 8000 years before present ( BP ) , and spread into eastern Africa beginning ≈ 5000 BP , ultimately reaching southernmost Africa by ≈ 2000 BP.
"
8888,"Xooluhu waxay ka muuqdaan woqooyiga Itoobiya iyo Jabuuti goor dambe , ≈ 4500-44000 BP , oo si liidata looma diiwaangeliyay meelo kale oo ku yaal geeska Afrika iyo Koonfurta Suudaan.
","Livestock appear in northern Ethiopia and Djibouti relatively late , ≈ 4500-4000 BP , and are poorly documented elsewhere in the Horn of Africa and in South Sudan.
"
8889,"Caddaynta ugu horreysa ee kooxaha ku hadla afka Cushitic ee Geeska Afrika laga yaabee inay ku hadlayaan nooc ka mid ah Proto-Cushitic , waxay ka yimaadaan sawirada godadka qadiimka ah.
","Ethiosemitic speaking groups generally have a cultural and genetic affinity to Cushitic speakers and are occasionally considered a sub-group of Cushitic peoples.
"
8890,"Markay ahayd qarnigii 5aad ee BC , Proto-Cushites oo deggenaa waxa hadda Suudaan u badan tahay waxay ka qayb qaadatay kacaankii Neolithic kaasoo u oggolaaday in ay ku noolaadaan xayawaanada kooxaha kacsan oo horey u ugaadhsadeyaal ama ugaarsade.
","By the 5th millennium BC , Proto-Cushites who inhabited what is now Sudan likely participated in the Neolithic revolution which allowed for the domestication of animals by sedentary groups who were previously cultivators.
"
8891,"Dameeraha waxaa lagayaabaa inay markii hore xoola dhaqatada ahaayeen dadka xoolo dhaqatada ah ee Nubia awoowayaasha dameerka casriga ah inay yihiin Nubian iyo somalida dameeraha duurjoogta Afrika.
","In the classical era , the Macrobians who were a legendary people and kingdom positioned in the Horn of Africa were mentioned by Herodotus.
"
8892,"Bariga Afrika Caddaynta taariikhiga ah iyo luuqadda ayaa muujineysa in dadka ku hadla afka Cushitic ay xukumaan gobolka Bariga Afrika ka hor inta uusan Bantu fidin 1000 sano ka hor ilaa 1 AD.
","Archeological and linguistic evidence suggests that Cushitic speakers dominated significant areas of East Africa before the Bantu expansion in 1,000 BC to 1 AD.
"
8893,"Buuggii saamaynta ku lahaa "" Dib-u-dhiska Taariikhda iyo Dhaqanka ee Taariikhda Afrika ayaa "" la daabacay 1982 , Ehret wuxuu si ballaadhan la waafaqay Harold C. Fleming fikirka hore ee ku saabsan joogteynta xuduudaha qowmiyadeed ee Afrika in kasta oo wakhtiyadii dambe ee xiriirku socday.
","In the influential book "" The Archaeological and Linguistic Reconstruction of African History "" published in 1982 , Ehret broadly agreed with Harold C. Fleming earlier hypothesis on the persistence of ancestral ethnoracial boundaries in Africa despite later periods of contact.
"
8894,"Iyada oo loo marayo luqadaha taariikhiga ah , Ehret guud ahaan waxay aqoonsatay abtirsiinta "" Mediterranean Caucasoid "" dadka leh asaaska Savanna Pastoral Neolithic , oo ku hadla luqado ay leeyihiin laanta Cushitic ee qoyska Afro-Asiatic.
","They speak Saho as a mother tongue , which belongs to the Cushitic branch of the Afroasiatic family and is closely related to Afar.
"
8895,"Wuxuu xiriir la sameeyay "" Negroid "" oo weli ku jira kuwa sameeya dhaqanka Elmenteitan , kaasoo uu tilmaamay inay u badan tahay inuu ku hadlo afafka Nilo-Saharan.
","Since the alphabet was deciphered in 1909 , it has been proposed that Meroitic is related to the Nubian languages and similar languages of the Nilo-Saharan phylum.
"
8896,"Dadkan ayaa loo haystaa inay mas'uul ka ahaayeen monoliths-ka dhagaxa , xirmooyinka derbiyada , nidaamyada waraabka iyo dhaqannada kale ee la xiriira ee wali ku jira Bariga Afrika.
","Cushitic people have a wide diversity of cultures that relate to them specifically and as a group but as a whole tends to vary between sedentary agrarianism and nomadic pastoralism.
"
